code,idc,id,social,rtrial,blocktrial,run,payoff,choice,rt,opchoice,opponent,blank,missing,onset_choice,onset_feedback,onset_response,ctrial,ctrial2,trial,opswitch
101,101,1,0,51,10,1,1,0,0.37,0,1,0,0,504.872,508.739,505242,29,28,48,1
101,101,1,0,52,11,1,1,1,0.341,1,1,0,0,515.838,520.5,516179,30,29,49,1
101,101,1,0,53,12,1,1,0,0.682,0,1,0,0,524.281,528.258,524963,31,30,50,1
101,101,1,0,54,13,1,1,1,0.772,1,1,0,0,532.03,536.94,532802,32,31,51,1
101,101,1,0,55,14,1,1,0,0.387,0,1,0,0,540.235,546.297,540622,33,32,52,1
101,101,1,0,56,15,1,1,1,0.355,1,1,0,0,551.89,554.794,552245,34,33,53,1
101,101,1,0,57,16,1,0,0,0.323,1,1,0,0,559.053,565.046,559376,35,34,54,1
101,101,1,0,58,17,1,0,1,0.328,0,1,0,0,570.164,573.407,570492,36,35,55,1
101,101,1,0,59,18,1,0,1,0.434,0,1,0,0,577.886,581.195,578320,37,36,56,1
101,101,1,0,60,19,1,1,0,0.26,0,1,0,0,588.449,593.887,588709,38,37,57,1
101,101,1,0,61,0,1,-2,-2,NaN,-1,0,1,0,597.407,0,NaN,0,0,0,0
101,101,1,0,62,1,1,1,1,0.644,1,0,0,0,605.618,609.368,606262,20,19,58,0
101,101,1,0,63,2,1,0,0,1.375,1,0,0,0,612.718,617.879,614093,21,20,59,0
101,101,1,0,64,3,1,0,1,0.623,0,0,0,0,622.419,628.591,623042,22,21,60,0
101,101,1,0,65,4,1,1,0,0.553,0,0,0,0,632.958,639.869,633511,23,22,61,0
101,101,1,0,66,5,1,0,1,0.312,0,0,0,0,643.067,648.925,643379,24,23,62,0
101,101,1,0,67,6,1,#NAME?,NaN,NaN,1,0,0,1,652.702,656.54,NaN,25,0,63,0
101,101,1,0,68,7,1,0,0,-6.787,1,0,0,0,661.784,665.664,654997,26,24,64,0
101,101,1,0,69,8,1,0,1,0.24,0,0,0,0,668.717,673.436,668957,27,25,65,0
101,101,1,0,70,9,1,0,0,0.45,1,0,0,0,679.358,682.929,679808,28,26,66,0
101,101,1,0,71,10,1,0,0,0.629,1,0,0,0,686.734,690.093,687363,29,27,67,0
101,101,1,0,72,11,1,1,0,0.947,0,0,0,0,693.188,698.455,694135,30,28,68,0
101,101,1,0,73,12,1,0,1,-0.738,0,0,0,0,704.27,708.332,703532,31,29,69,0
101,101,1,0,74,13,1,0,1,0.362,0,0,0,0,712.822,716.52,713184,32,30,70,0
101,101,1,0,75,14,1,0,0,0.612,1,0,0,0,719.674,724.567,720286,33,31,71,0
101,101,1,0,76,15,1,#NAME?,NaN,NaN,1,0,0,1,727.263,732.331,NaN,34,0,72,0
101,101,1,0,77,16,1,0,1,-8.185,0,0,0,0,737.684,745.065,729499,35,32,73,0
101,101,1,0,78,17,1,1,0,0.98,0,0,0,0,748.717,753.264,749697,36,33,74,0
101,101,1,0,79,18,1,0,0,0.666,1,0,0,0,757.983,762.866,758649,37,34,75,0
101,101,1,0,80,19,1,0,1,0.238,0,0,0,0,768.056,772.037,768294,38,35,76,0
101,101,1,0,1,0,2,-2,-2,NaN,-1,1,1,0,3.671,0,NaN,0,0,0,1
101,101,1,0,2,1,2,0,1,0.481,0,1,0,0,11.94,16.068,12421,39,38,77,1
101,101,1,0,3,2,2,0,0,0.258,1,1,0,0,18.834,23.86,19092,40,39,78,1
101,101,1,0,4,3,2,0,0,0.374,1,1,0,0,33.233,35.525,33607,41,40,79,1
101,101,1,0,5,4,2,0,0,0.335,1,1,0,0,41.095,50.541,41430,42,41,80,1
101,101,1,0,6,5,2,1,1,0.313,1,1,0,0,54.292,60.317,54605,43,42,81,1
101,101,1,0,7,6,2,0,1,0.523,0,1,0,0,64.429,66.852,64952,44,43,82,1
101,101,1,0,8,7,2,1,0,0.791,0,1,0,0,73.783,78.672,74574,45,44,83,1
101,101,1,0,9,8,2,1,1,0.916,1,1,0,0,82.04,84.737,82956,46,45,84,1
101,101,1,0,10,9,2,1,0,0.467,0,1,0,0,91.509,94.621,91976,47,46,85,1
101,101,1,0,11,10,2,1,1,0.424,1,1,0,0,97.901,103.241,98325,48,47,86,1
101,101,1,0,12,11,2,1,0,0.678,0,1,0,0,108.774,116.42,109452,49,48,87,1
101,101,1,0,13,12,2,1,1,0.286,1,1,0,0,121.943,125.861,122229,50,49,88,1
101,101,1,0,14,13,2,1,0,0.381,0,1,0,0,128.814,132.224,129195,51,50,89,1
101,101,1,0,15,14,2,1,1,0.714,1,1,0,0,136.183,142.136,136897,52,51,90,1
101,101,1,0,16,15,2,1,0,0.577,0,1,0,0,146.256,150.726,146833,53,52,91,1
101,101,1,0,17,16,2,1,1,0.296,1,1,0,0,155.32,158.011,155616,54,53,92,1
101,101,1,0,18,17,2,0,0,0.45,1,1,0,0,161.092,165.503,161542,55,54,93,1
101,101,1,0,19,18,2,0,0,1.556,1,1,0,0,170.72,176.152,172276,56,55,94,1
101,101,1,0,20,19,2,0,1,0.963,0,1,0,0,180.805,183.987,181768,57,56,95,1
101,101,1,0,21,0,2,-2,-2,NaN,-1,0,1,0,186.795,0,NaN,0,0,0,0
101,101,1,0,22,1,2,1,0,0.447,0,0,0,0,196.269,201.166,196716,39,36,96,0
101,101,1,0,23,2,2,0,0,0.551,1,0,0,0,210.018,215.328,210569,40,37,97,0
101,101,1,0,24,3,2,0,0,0.845,1,0,0,0,223.67,226.784,224515,41,38,98,0
101,101,1,0,25,4,2,1,0,0.308,0,0,0,0,234.366,237.903,234674,42,39,99,0
101,101,1,0,26,5,2,1,0,0.329,0,0,0,0,243.997,252.051,244326,43,40,100,0
101,101,1,0,27,6,2,0,0,0.388,1,0,0,0,255.25,259.938,255638,44,41,101,0
101,101,1,0,28,7,2,1,1,0.266,1,0,0,0,262.74,267.404,263006,45,42,102,0
101,101,1,0,29,8,2,1,0,0.287,0,0,0,0,272.453,276.349,272740,46,43,103,0
101,101,1,0,30,9,2,1,0,0.3,0,0,0,0,282.251,285.344,282551,47,44,104,0
101,101,1,0,31,10,2,1,1,0.299,1,0,0,0,289.549,299.028,289848,48,45,105,0
101,101,1,0,32,11,2,1,1,0.313,1,0,0,0,302.643,306.007,302956,49,46,106,0
101,101,1,0,33,12,2,1,0,0.294,0,0,0,0,315.535,319.809,315829,50,47,107,0
101,101,1,0,34,13,2,1,0,0.356,0,0,0,0,326.557,332.941,326913,51,48,108,0
101,101,1,0,35,14,2,1,1,0.448,1,0,0,0,337.774,342.445,338222,52,49,109,0
101,101,1,0,36,15,2,1,1,0.301,1,0,0,0,346.521,350.784,346822,53,50,110,0
101,101,1,0,37,16,2,1,0,0.353,0,0,0,0,354.248,359.217,354601,54,51,111,0
101,101,1,0,38,17,2,1,0,0.39,0,0,0,0,365.109,368.046,365499,55,52,112,0
101,101,1,0,39,18,2,1,1,-3.026,1,0,0,0,374.17,379.194,371144,56,53,113,0
101,101,1,0,40,19,2,1,1,0.375,1,0,0,0,383.635,387.416,384010,57,54,114,0
101,101,1,0,41,0,2,-2,-2,NaN,-1,1,1,0,392.69,0,NaN,0,0,0,1
101,101,1,0,42,1,2,1,0,0.453,0,1,0,0,401.967,405.873,402420,58,57,115,1
101,101,1,0,43,2,2,1,1,0.284,1,1,0,0,411.405,417.499,411689,59,58,116,1
101,101,1,0,44,3,2,1,0,0.345,0,1,0,0,421.339,424.005,421684,60,59,117,1
101,101,1,0,45,4,2,0,1,0.524,0,1,0,0,428.979,432.66,429503,61,60,118,1
101,101,1,0,46,5,2,0,1,1.708,0,1,0,0,435.689,440.514,437397,62,61,119,1
101,101,1,0,47,6,2,0,1,0.312,0,1,0,0,445.077,452.069,445389,63,62,120,1
101,101,1,0,48,7,2,1,0,1.149,0,1,0,0,455.223,459.201,456372,64,63,121,1
101,101,1,0,49,8,2,1,0,0.462,0,1,0,0,463.095,466.559,463557,65,64,122,1
101,101,1,0,50,9,2,1,0,0.33,0,1,0,0,473.095,476.091,473425,66,65,123,1
101,101,1,0,51,10,2,0,0,0.341,1,1,0,0,481.454,484.953,481795,67,66,124,1
101,101,1,0,52,11,2,1,1,0.279,1,1,0,0,489.358,493.351,489637,68,67,125,1
101,101,1,0,53,12,2,1,1,0.263,1,1,0,0,497.394,501.421,497657,69,68,126,1
101,101,1,0,54,13,2,0,1,0.302,0,1,0,0,505.091,513.952,505393,70,69,127,1
101,101,1,0,55,14,2,1,0,0.287,0,1,0,0,521.389,524.972,521676,71,70,128,1
101,101,1,0,56,15,2,0,0,0.439,1,1,0,0,529.628,532.819,530067,72,71,129,1
101,101,1,0,57,16,2,1,1,0.319,1,1,0,0,536.918,541.499,537237,73,72,130,1
101,101,1,0,58,17,2,1,1,0.482,1,1,0,0,547.196,553.78,547678,74,73,131,1
101,101,1,0,59,18,2,0,1,0.298,0,1,0,0,559.933,564.554,560231,75,74,132,1
101,101,1,0,60,19,2,1,0,0.257,0,1,0,0,570.496,574.037,570753,76,75,133,1
101,101,1,0,61,0,2,-2,-2,NaN,-1,0,1,0,576.915,0,NaN,0,0,0,0
101,101,1,0,62,1,2,0,1,0.337,0,0,0,0,586.849,590.442,587186,58,55,134,0
101,101,1,0,63,2,2,1,1,0.835,1,0,0,0,593.49,596.572,594325,59,56,135,0
101,101,1,0,64,3,2,1,1,0.329,1,0,0,0,602.6,606.788,602929,60,57,136,0
101,101,1,0,65,4,2,1,0,0.345,0,0,0,0,612.732,616.896,613077,61,58,137,0
101,101,1,0,66,5,2,1,0,0.593,0,0,0,0,619.994,623.714,620587,62,59,138,0
101,101,1,0,67,6,2,1,1,0.394,1,0,0,0,629.239,636.175,629633,63,60,139,0
101,101,1,0,68,7,2,1,1,0.419,1,0,0,0,639.601,643.397,640020,64,61,140,0
101,101,1,0,69,8,2,1,0,0.339,0,0,0,0,650.3,655.587,650639,65,62,141,0
101,101,1,0,70,9,2,1,0,0.416,0,0,0,0,660.83,664.521,661246,66,63,142,0
