code,idc,id,social,rtrial,blocktrial,run,payoff,choice,rt,opchoice,opponent,blank,missing
101,101,1,0,5,4,2,0,0,0.335,1,1,0,0
101,101,1,0,6,5,2,1,1,0.313,1,1,0,0
101,101,1,0,7,6,2,0,1,0.523,0,1,0,0
101,101,1,0,8,7,2,1,0,0.791,0,1,0,0
101,101,1,0,9,8,2,1,1,0.916,1,1,0,0
101,101,1,0,10,9,2,1,0,0.467,0,1,0,0
101,101,1,0,11,10,2,1,1,0.424,1,1,0,0
101,101,1,0,12,11,2,1,0,0.678,0,1,0,0
101,101,1,0,13,12,2,1,1,0.286,1,1,0,0
101,101,1,0,14,13,2,1,0,0.381,0,1,0,0
101,101,1,0,15,14,2,1,1,0.714,1,1,0,0
101,101,1,0,16,15,2,1,0,0.577,0,1,0,0
101,101,1,0,17,16,2,1,1,0.296,1,1,0,0
101,101,1,0,18,17,2,0,0,0.45,1,1,0,0
101,101,1,0,19,18,2,0,0,1.556,1,1,0,0
101,101,1,0,20,19,2,0,1,0.963,0,1,0,0
101,101,1,0,21,0,2,-2,-2,NaN,-1,0,1,0
101,101,1,0,22,1,2,1,0,0.447,0,0,0,0
101,101,1,0,23,2,2,0,0,0.551,1,0,0,0
101,101,1,0,24,3,2,0,0,0.845,1,0,0,0
101,101,1,0,25,4,2,1,0,0.308,0,0,0,0
101,101,1,0,26,5,2,1,0,0.329,0,0,0,0
101,101,1,0,27,6,2,0,0,0.388,1,0,0,0
101,101,1,0,28,7,2,1,1,0.266,1,0,0,0
101,101,1,0,29,8,2,1,0,0.287,0,0,0,0
101,101,1,0,30,9,2,1,0,0.3,0,0,0,0
101,101,1,0,31,10,2,1,1,0.299,1,0,0,0
101,101,1,0,32,11,2,1,1,0.313,1,0,0,0
101,101,1,0,33,12,2,1,0,0.294,0,0,0,0
101,101,1,0,34,13,2,1,0,0.356,0,0,0,0
101,101,1,0,35,14,2,1,1,0.448,1,0,0,0
101,101,1,0,36,15,2,1,1,0.301,1,0,0,0
101,101,1,0,37,16,2,1,0,0.353,0,0,0,0
101,101,1,0,38,17,2,1,0,0.39,0,0,0,0
101,101,1,0,39,18,2,1,1,-3.026,1,0,0,0
101,101,1,0,40,19,2,1,1,0.375,1,0,0,0
101,101,1,0,41,0,2,-2,-2,NaN,-1,1,1,0
101,101,1,0,42,1,2,1,0,0.453,0,1,0,0
101,101,1,0,43,2,2,1,1,0.284,1,1,0,0
101,101,1,0,44,3,2,1,0,0.345,0,1,0,0
101,101,1,0,45,4,2,0,1,0.524,0,1,0,0
101,101,1,0,46,5,2,0,1,1.708,0,1,0,0
101,101,1,0,47,6,2,0,1,0.312,0,1,0,0
101,101,1,0,48,7,2,1,0,1.149,0,1,0,0
101,101,1,0,49,8,2,1,0,0.462,0,1,0,0
101,101,1,0,50,9,2,1,0,0.33,0,1,0,0
101,101,1,0,51,10,2,0,0,0.341,1,1,0,0
101,101,1,0,52,11,2,1,1,0.279,1,1,0,0
101,101,1,0,53,12,2,1,1,0.263,1,1,0,0
101,101,1,0,54,13,2,0,1,0.302,0,1,0,0
101,101,1,0,55,14,2,1,0,0.287,0,1,0,0
101,101,1,0,56,15,2,0,0,0.439,1,1,0,0
101,101,1,0,57,16,2,1,1,0.319,1,1,0,0
101,101,1,0,58,17,2,1,1,0.482,1,1,0,0
101,101,1,0,59,18,2,0,1,0.298,0,1,0,0
101,101,1,0,60,19,2,1,0,0.257,0,1,0,0
101,101,1,0,61,0,2,-2,-2,NaN,-1,0,1,0
101,101,1,0,62,1,2,0,1,0.337,0,0,0,0
101,101,1,0,63,2,2,1,1,0.835,1,0,0,0
101,101,1,0,64,3,2,1,1,0.329,1,0,0,0
101,101,1,0,65,4,2,1,0,0.345,0,0,0,0
101,101,1,0,66,5,2,1,0,0.593,0,0,0,0
101,101,1,0,67,6,2,1,1,0.394,1,0,0,0
101,101,1,0,68,7,2,1,1,0.419,1,0,0,0
101,101,1,0,69,8,2,1,0,0.339,0,0,0,0
101,101,1,0,70,9,2,1,0,0.416,0,0,0,0
101,101,1,0,71,10,2,1,1,0.326,1,0,0,0
101,101,1,0,72,11,2,1,1,0.297,1,0,0,0
101,101,1,0,73,12,2,1,0,0.29,0,0,0,0
101,101,1,0,74,13,2,1,0,0.306,0,0,0,0
101,101,1,0,75,14,2,1,1,0.397,1,0,0,0
101,101,1,0,76,15,2,1,1,0.368,1,0,0,0
101,101,1,0,77,16,2,1,0,0.474,0,0,0,0
101,101,1,0,78,17,2,1,0,0.579,0,0,0,0
101,101,1,0,79,18,2,0,1,0.46,0,0,0,0
101,101,1,0,80,19,2,0,0,0.389,1,0,0,0
101,101,1,0,1,0,3,-2,-2,NaN,-1,1,1,0
101,101,1,0,2,1,3,0,0,0.542,1,1,0,0
101,101,1,0,3,2,3,0,0,0.347,1,1,0,0
101,101,1,0,4,3,3,1,1,0.244,1,1,0,0
101,101,1,0,5,4,3,0,1,0.243,0,1,0,0
101,101,1,0,6,5,3,1,0,0.327,0,1,0,0
101,101,1,0,7,6,3,1,0,0.335,0,1,0,0
101,101,1,0,8,7,3,1,1,0.282,1,1,0,0
101,101,1,0,9,8,3,0,1,0.334,0,1,0,0
