"","beta","id","contrast","ROI","social","opponent","payoff","run","idrun"
"1",-1.25670277546741,1,"WS1","IPS_roi.mat","non-social",0,1,1,1001
"2",-1.59695990465656,1,"LS1","IPS_roi.mat","non-social",0,0,1,1001
"3",1.70584876413134,1,"WL1","IPS_roi.mat","non-social",1,1,1,1001
"4",1.97787930456275,1,"LL1","IPS_roi.mat","non-social",1,0,1,1001
"5",0.0971829034832342,1,"WS2","IPS_roi.mat","non-social",0,1,2,1002
"6",2.82935514196061,1,"LS2","IPS_roi.mat","non-social",0,0,2,1002
"7",1.71233972430167,1,"WL2","IPS_roi.mat","non-social",1,1,2,1002
"8",1.90364394542479,1,"LL2","IPS_roi.mat","non-social",1,0,2,1002
"9",-1.31086636967388,1,"WS3","IPS_roi.mat","non-social",0,1,3,1003
"10",0.0706328584094393,1,"LS3","IPS_roi.mat","non-social",0,0,3,1003
"11",0.546891576855682,1,"WL3","IPS_roi.mat","non-social",1,1,3,1003
"12",0.322482581474085,1,"LL3","IPS_roi.mat","non-social",1,0,3,1003
"13",1.11919731098191,2,"WS1","IPS_roi.mat","non-social",0,1,1,2001
"14",2.09025996062342,2,"LS1","IPS_roi.mat","non-social",0,0,1,2001
"15",1.83256754891995,2,"WL1","IPS_roi.mat","non-social",1,1,1,2001
"16",1.94175948116966,2,"LL1","IPS_roi.mat","non-social",1,0,1,2001
"17",2.40271121856139,2,"WS2","IPS_roi.mat","non-social",0,1,2,2002
"18",1.87190468545828,2,"LS2","IPS_roi.mat","non-social",0,0,2,2002
"19",1.9023508905536,2,"WL2","IPS_roi.mat","non-social",1,1,2,2002
"20",1.95785132030318,2,"LL2","IPS_roi.mat","non-social",1,0,2,2002
"21",1.81891585966448,2,"WS3","IPS_roi.mat","non-social",0,1,3,2003
"22",3.05894673506529,2,"LS3","IPS_roi.mat","non-social",0,0,3,2003
"23",0.782901924615851,2,"WL3","IPS_roi.mat","non-social",1,1,3,2003
"24",1.9116391797372,2,"LL3","IPS_roi.mat","non-social",1,0,3,2003
"25",0.431586822157157,3,"WS1","IPS_roi.mat","non-social",0,1,1,3001
"26",-0.366432396556974,3,"LS1","IPS_roi.mat","non-social",0,0,1,3001
"27",1.03767329840948,3,"WL1","IPS_roi.mat","non-social",1,1,1,3001
"28",0.257586236173088,3,"LL1","IPS_roi.mat","non-social",1,0,1,3001
"29",-0.146203644306728,3,"WS2","IPS_roi.mat","non-social",0,1,2,3002
