"","idrun","id","run","social","PR.WS","PR.LS","PR.WL","PR.LL","dmPFC.WS","dmPFC.LS","dmPFC.WL","dmPFC.LL","lTPJ.WS","lTPJ.LS","lTPJ.WL","lTPJ.LL","lTP.WS","lTP.LS","lTP.WL","lTP.LL","nAc.WS","nAc.LS","nAc.WL","nAc.LL","rTPJ.WS","rTPJ.LS","rTPJ.WL","rTPJ.LL","rTP.WS","rTP.LS","rTP.WL","rTP.LL","vmPFC.WS","vmPFC.LS","vmPFC.WL","vmPFC.LL"
"11",4002,4,2,"non-social",-0.761469636338595,1.35869340822195,1.04320197877321,-0.244093867401716,-0.223605121016883,1.35445212032097,1.10617998109415,-0.405520874615464,0.545453472312626,1.05126505579574,0.408454212039015,-0.616413209890986,-0.383644355717853,0.300951000181275,0.603718811528289,-0.642211558016633,1.63869633370373,-0.25071672584264,3.36308290770302,-0.527164079880735,0.353201073958864,1.63899443728353,2.03981733828738,0.996150555801733,-0.476444137446031,0.494488576891883,1.13585530821084,0.12804515664412,-0.260390919554785,0.243830965750922,0.770753248263734,-0.645582970814004
"12",4003,4,3,"non-social",-1.7761853453033,-0.3035079741991,0.262973898935732,-0.745700928230573,-0.905916132230672,-0.00949127616208045,0.485891994044865,-0.576672378953535,-0.518747481471717,-0.526712040090922,0.152470123744671,0.922486384377122,-0.479205144961533,-0.430476294192896,0.658058749286189,0.880063747456813,-0.653756172846713,0.0296932774904697,2.09697832215965,-0.453740927988687,-1.2820706786623,0.0224718407121998,0.534043982570935,-0.295178816838322,-0.970427569399373,-0.581775911032366,0.596768407016462,0.11463610150325,-1.48638744988174,-0.238645418788833,0.525284546416254,0.759698476738148
"13",6001,6,1,"non-social",-0.83413627467396,-0.478474422070758,-0.0730744215074955,-2.4774557274111,-0.401638153426761,-0.938538324823625,1.23510556558583,-1.77577015285385,-1.03666127685426,-1.1223672893685,0.915050176823294,-1.84130375933832,-0.232405782891296,-0.0654548115293584,1.27963072289698,-0.565770555719905,0.994907353556367,0.089004370097259,0.736955206853793,-1.21002108222858,-1.0711123823996,-1.77348181910178,0.471939970866652,-0.15766081531513,0.15466491716933,-0.0309452729470574,0.864517781482613,-0.118530562011422,-0.726982060758938,-0.5612825818245,1.34372700749433,-1.6722631505048
"14",6002,6,2,"non-social",-1.08100105053762,-4.7947583757284,0.982859600431899,-0.743196801231594,-1.23809747848398,-1.95522999883224,0.00548167606610951,-1.62915065296988,-2.42821124872936,-4.24483013029473,0.738185499045159,0.21599637506505,-0.609080301108932,-0.815591065456617,0.112718001488074,-0.717676548726119,0.529676698153629,0.817455560874449,0.689592589874888,-1.08210167938788,-1.39493893062659,-2.32201099358872,-0.755425388470162,-0.439379446543383,0.184186008394897,0.175659372668068,-0.244092694514188,-0.751795169925568,-0.872730636320023,-1.39644838670697,0.00410348340753439,-1.83871174267451
"15",6003,6,3,"non-social",-0.737995200021423,0.81811232527339,-0.566500439387802,-1.12206971783927,-1.1958995995029,-1.18862945783623,-0.1934038659394,-1.21970346721239,-2.05992632652639,-1.28091455540297,-0.662370868368681,-1.24459600541715,-0.837605806313334,-0.717153896563515,-0.101447302243967,-0.121918861837456,0.397830999470759,0.669200715394686,-0.492805681537621,-0.778218214462646,-2.59976984524005,-1.22132210189799,-0.564706814540681,0.295980584649135,-0.129710437685947,-0.182768541131766,-0.339347178185946,0.296311176915971,-0.510655539091267,-0.741555988262558,-1.06664129147874,-1.86266268152736
"16",7001,7,1,"non-social",-0.073372095675554,-0.956313716366415,0.126064229743422,-0.273739449450779,-0.426568420234346,-1.33864763431625,0.353683788587902,0.132276801644828,-1.11064709429607,-1.61400998869317,-0.370500519361718,0.289457985125556,-0.36379427721353,-1.29507744957101,0.579217520497913,0.453868373207687,0.574782607351813,-2.41197067624399,2.26513752122033,0.947884697008967,-0.507037351369035,-1.10939508508316,0.23620801218631,1.10605468811888,-0.561554169651725,-1.32102248337907,0.0356998707777232,0.326162926818094,0.101961209705735,-1.25123058147911,0.953200989449578,0.518324198961309
"17",7002,7,2,"non-social",0.607036003620952,0.21036120080316,0.0305090280175946,-0.354263647092452,-0.612245859538129,-1.11850392841543,0.135516445616866,-1.10556473496314,-0.490091354267656,-0.587324138821913,-0.569834467837119,-0.438290770171794,-0.465473826931719,-1.04990418279592,-0.309355737193887,-0.641495464423359,2.08751512400276,0.936398034165276,0.956571389214041,-0.78599862613114,-0.444237866084776,-0.251407421783083,0.447977636976434,-0.232026412881908,-1.00369291341657,-1.89314188121227,-1.04691492239108,-0.746978469389423,-0.986839146966159,-2.61420052020646,-0.810125341630392,-1.64735253245529
"18",7003,7,3,"non-social",-0.31074832550987,-0.36279297658411,-0.234618624369915,0.324066970069415,-0.7192070301255,-0.755579816423218,-0.929775595252543,-1.23602395875108,-0.916305167367631,-0.791915365051686,-0.545201739742332,-0.451568827602286,-1.35668957566638,-0.597754003320718,-1.69300799453997,-2.13019480972916,0.598768795021603,0.817930047729504,-0.353452079052617,-0.834530698914064,-1.21196187370786,-0.271910471818348,-0.325732351713124,0.775346159675272,-0.811031412244653,-0.595761199629877,-1.1355647670886,-0.796258835545942,-1.60133844706201,-1.57961442102486,-2.34374204578137,-2.56976045469523
"19",8001,8,1,"non-social",0.478787673740506,0.841606220650322,2.49476755128425,1.80159829747049,0.28440116708884,0.670667260386205,1.13322180141209,-0.215747576074449,0.342332944235545,-0.0569032151609588,0.977227790099971,0.804544681736902,0.583934329357895,0.57904423332793,0.467436745576331,0.144566689970228,1.91448503941269,1.04021364127705,0.131739784787528,-0.623663911126259,-0.197408350213643,-0.477596741336171,1.49963061391904,0.80847104887748,0.215083111640456,0.261883857024059,0.677996211834994,-0.0583172195113057,-0.86863508371886,-1.17910759169705,0.319294030107192,-1.22462135048113
"20",8002,8,2,"non-social",-0.565522599187475,0.166017144961327,2.03709264114015,0.455226873058177,-0.0286418406017328,0.183864726293641,1.12450195881862,-0.22261539071175,-0.00308689671270935,1.39961916717334,0.945155101635697,0.540722218092417,-0.449792525044659,0.64347412236327,1.62439382252448,1.32722422365693,1.83619675324078,1.74662689706952,2.92118667868822,1.32438053528722,0.209703869033438,0.835766665548464,1.72873468338481,0.218960461754817,0.111960243088185,0.399239364582145,1.89869505661241,1.47098042448788,0.230127136639751,0.00972231922685217,1.42003999153116,0.355196547790472
"21",8003,8,3,"non-social",1.33660399193365,-0.140357259223171,-0.617820328467303,-0.23250642403625,0.947385911301197,-0.803017828341012,0.0587425444766421,0.550465369397813,0.712420138208419,0.130716974506221,-0.164051716497819,-0.0146541344596844,1.68351760813766,1.66343515490308,-0.13585695982382,0.680880509257948,2.49012330794621,2.31329912541274,1.0770748944951,1.56283939334251,0.429868821255427,-1.15343622215189,-0.616147944209543,0.109194242532636,0.860170337980744,0.2471205182713,-0.248978067324143,0.517049730641489,0.611823529821265,-0.150134435641464,0.182323513464215,1.578278050768
"22",9001,9,1,"non-social",-0.0242197886412366,-2.00874655640989,-1.18239006334818,-1.94655021239695,-0.625851159033023,-1.63095638154405,-0.375321319490954,-0.546488579538003,-0.243982883320189,-0.347625594190208,-0.26283235379661,-0.918018902198074,0.152611848752521,-0.170599750017455,-0.446297011719579,-0.767972350669072,2.18358237891925,0.549199743401981,0.795762163111924,-0.670622939058238,0.281677183125773,-0.672781471077031,-0.0120633712512549,-1.12545974247191,0.467531492715794,0.132927516204563,-0.14203817657918,-0.849214374265712,-0.669419340828304,-1.74704550697471,-0.913359760711107,-0.910990429362185
"23",9002,9,2,"non-social",0.287449512331234,-1.0888862794308,-0.562103651188152,-1.34512723565413,-0.354011421661685,-0.405367126703984,-1.16239238182782,-1.36744156102356,-0.369724727049176,-0.0347923214472716,-0.416042802091895,-0.97950515454232,-0.336837722379772,-0.315996079946111,-0.483463943322304,-0.995426352154919,0.327688108059106,0.041930626707176,1.1611207069147,-0.472281501009191,0.0841595379387951,0.031928613209556,-0.0605176603727245,-0.274065546713352,0.31423006368668,-0.475655936012845,0.356705672863595,-0.220726181508189,-0.93380203264665,-0.999627143410669,-0.893409380813675,-1.37108978171659
"24",9003,9,3,"non-social",0.63380798229273,-1.27873727216256,-0.199520533131722,-1.84004143098953,-1.08101897409717,-1.77193276273126,-0.302710478838706,-0.793459830961709,-0.937686675339201,-1.7645577154464,-0.0597475003062695,-0.932240323787211,-0.351388261768015,-1.19558541110308,-0.313745738668455,-1.11254824637965,1.11154863438269,0.792958631041735,0.319020613057345,-1.05270571222596,-0.4571023429904,-1.33555606654685,0.753377153487023,-0.247700538313701,0.216037430684363,-0.631844411084678,-0.730322268961468,-1.15664693553599,-0.410221277396104,-2.38255962133769,-1.16061755225418,-1.39256220562348
"25",10001,10,1,"non-social",-1.77762760849596,-1.14862306673676,-0.329314337998575,-2.03433003090657,-1.52796367405013,-0.820220645473771,-0.141466522495035,-1.52084194641754,-1.18783495201546,-1.14758699120448,-0.302691717001046,-1.29054346714794,-0.0570879896094171,-0.763021835460236,-1.34202146066214,-1.77402715937665,1.97390954076683,-0.212082182026242,-0.895051285545505,-2.53430808703214,-0.848862988961994,-0.481678706431867,0.289412018942713,-1.00947631279938,0.313681790142687,-0.198049407919904,-1.96229340515077,-1.87587275188903,-0.751490863973664,-0.551384559427401,-2.0535406268055,-1.62580455430716
"26",10002,10,2,"non-social",2.34644790353572,-1.59570503197847,-0.0308156073909893,-0.736963442347783,1.51385322743002,-2.66763572576176,-1.36184497201464,-1.55617237314691,1.23934357545327,-2.05794576756064,-0.524917219159178,-1.21921160744023,0.410629151490249,-0.898940921902306,-0.173039826395555,-0.994346089842065,1.19610117588235,-0.729559126841088,1.12701743831521,-1.05738174167094,2.04187740869308,-1.4323899665259,-0.0553480846537378,-0.170131784791056,0.74779019793826,-1.11851208596762,0.0955070071659551,-0.726585450035108,0.571483402978972,-2.16512162497043,0.086260512469711,-0.337898215428503
