beta,id,contrast,ROI
0.873801989312282,1,react,IPS_roi.mat
7.7994476412453,1,PE,IPS_roi.mat
-0.637205369722751,1,value_dif2,IPS_roi.mat
1.1900301120743,1,signPE,IPS_roi.mat
1.09622502450008,1,<undefined>,IPS_roi.mat
-0.174827404315837,2,react,IPS_roi.mat
1.82704063675913,2,PE,IPS_roi.mat
-0.630166033568407,2,value_dif2,IPS_roi.mat
-1.42123231396492,2,signPE,IPS_roi.mat
4.27553593172712,2,<undefined>,IPS_roi.mat
1.06282626532254,3,react,IPS_roi.mat
2.04757475527643,3,PE,IPS_roi.mat
-0.647483562184224,3,value_dif2,IPS_roi.mat
0.738225008485891,3,signPE,IPS_roi.mat
0.671944628665484,3,<undefined>,IPS_roi.mat
-0.0478069858571319,4,react,IPS_roi.mat
-1.89563646993851,4,PE,IPS_roi.mat
2.40645918407576,4,value_dif2,IPS_roi.mat
0.120546461260384,4,signPE,IPS_roi.mat
1.66684775742131,4,<undefined>,IPS_roi.mat
0.531946303271497,6,react,IPS_roi.mat
1.71181573590119,6,PE,IPS_roi.mat
-0.635013161924739,6,value_dif2,IPS_roi.mat
-0.488500763284752,6,signPE,IPS_roi.mat
2.38448022854842,6,<undefined>,IPS_roi.mat
0.863528347835968,7,react,IPS_roi.mat
6.07768966647575,7,PE,IPS_roi.mat
1.55438641344793,7,value_dif2,IPS_roi.mat
-0.546953789583468,7,signPE,IPS_roi.mat
-0.566709388426592,7,<undefined>,IPS_roi.mat
0.0373040072124724,8,react,IPS_roi.mat
13.3543615229306,8,PE,IPS_roi.mat
-2.21585538005692,8,value_dif2,IPS_roi.mat
-0.346828840755146,8,signPE,IPS_roi.mat
6.85355967530773,8,<undefined>,IPS_roi.mat
-0.360365500284959,9,react,IPS_roi.mat
-1.53107156279802,9,PE,IPS_roi.mat
0.244553074128679,9,value_dif2,IPS_roi.mat
0.330732472204629,9,signPE,IPS_roi.mat
3.09222990872203,9,<undefined>,IPS_roi.mat
-2.52140423967769,10,react,IPS_roi.mat
-3.95685531736555,10,PE,IPS_roi.mat
1.01005398642927,10,value_dif2,IPS_roi.mat
1.63313598132335,10,signPE,IPS_roi.mat
2.38949702313934,10,<undefined>,IPS_roi.mat
0.707633285665131,11,react,IPS_roi.mat
2.39533756031598,11,PE,IPS_roi.mat
0.114482467411868,11,value_dif2,IPS_roi.mat
-0.41710081547535,11,signPE,IPS_roi.mat
3.95163914571873,11,<undefined>,IPS_roi.mat
0.131968610120104,12,react,IPS_roi.mat
3.82868892122701,12,PE,IPS_roi.mat
0.0777858932758272,12,value_dif2,IPS_roi.mat
0.502651574513017,12,signPE,IPS_roi.mat
0.0561378091645971,12,<undefined>,IPS_roi.mat
-0.1760661963915,13,react,IPS_roi.mat
-4.61558264670568,13,PE,IPS_roi.mat
1.00951142595093,13,value_dif2,IPS_roi.mat
-0.369453776065169,13,signPE,IPS_roi.mat
2.70412224478841,13,<undefined>,IPS_roi.mat
-0.0955181953862696,14,react,IPS_roi.mat
-10.7934392155031,14,PE,IPS_roi.mat
-2.20612878495183,14,value_dif2,IPS_roi.mat
-0.884174588442165,14,signPE,IPS_roi.mat
3.42451611229265,14,<undefined>,IPS_roi.mat
0.921636973324468,15,react,IPS_roi.mat
-5.90183518964865,15,PE,IPS_roi.mat
1.37055584199813,15,value_dif2,IPS_roi.mat
0.767874859213695,15,signPE,IPS_roi.mat
1.97880259451401,15,<undefined>,IPS_roi.mat
1.41190997275803,17,react,IPS_roi.mat
4.55834809983334,17,PE,IPS_roi.mat
-0.537849740874022,17,value_dif2,IPS_roi.mat
-0.39951365185415,17,signPE,IPS_roi.mat
6.18615974655469,17,<undefined>,IPS_roi.mat
-1.29336623834102,18,react,IPS_roi.mat
-2.66031413576236,18,PE,IPS_roi.mat
0.205616372213696,18,value_dif2,IPS_roi.mat
-0.146108780529101,18,signPE,IPS_roi.mat
0.962677519805099,18,<undefined>,IPS_roi.mat
-0.153634045591539,19,react,IPS_roi.mat
-1.7791622379739,19,PE,IPS_roi.mat
0.1523148719334,19,value_dif2,IPS_roi.mat
0.310100482963283,19,signPE,IPS_roi.mat
3.73808040592476,19,<undefined>,IPS_roi.mat
1.50368046257271,20,react,IPS_roi.mat
3.62528882507858,20,PE,IPS_roi.mat
-0.427669908935573,20,value_dif2,IPS_roi.mat
0.0580971238407457,20,signPE,IPS_roi.mat
3.71501049064482,20,<undefined>,IPS_roi.mat
-0.626101105641852,21,react,IPS_roi.mat
-6.97187453796298,21,PE,IPS_roi.mat
5.08082400888058,21,value_dif2,IPS_roi.mat
-0.630795669037767,21,signPE,IPS_roi.mat
1.00772568965162,21,<undefined>,IPS_roi.mat
-0.764214404116529,22,react,IPS_roi.mat
-0.434659003933834,22,PE,IPS_roi.mat
0.262978178630118,22,value_dif2,IPS_roi.mat
0.365501273250301,22,signPE,IPS_roi.mat
1.064153534517,22,<undefined>,IPS_roi.mat
-1.01052741381665,23,react,IPS_roi.mat
-12.1678861465322,23,PE,IPS_roi.mat
